id;CustomerName;CustomerAddress;State
1137;Acturial Enterprises Ltd.;929 Brittany Ave.;New Mexico
1138;Metro Appliance Service;4467 Sheridan Rd.;Michigan
1139;Glenwood Credit Union;12 Skokie Valley Rd.;Florida
1140;Bako Delicatessen;2112 Ravine Drive;Kansas
1141;Esmarda Chemical Manufacturers;1245 Eastwood;Vermont
1142;North West Gas Co.;812 North Ave.;Colorado
1143;Schmidt Denists;242 Ashland Ave.;North Carolina
1144;Doerner's Awnings and Canopies;1875 Roger Williams Ave.;Idaho
1145;Cotton Thumb Ltd.;5518 Madison St.;Vermont
1146;Hibop Heating and Air Conditio;505 N. Frances St.;New Jersey
1147;Nyman Interior Design;844 Spruce St.;Arkansas
1148;Vecot Inc.;1770 first St.;Kansas
1149;Kosmo Consulting;139 Bay Colony Dr.;Vermont
1150;Gordon & Son Brockerage Ltd.;220 Vine Ave.;Illinois
1151;Froggy's Gourmet Catering;1234 Devonshire Court;Colorado
1152;janice Mann Accounting Service;115 Pleasent Ave.;Maryland
1153;Air France;3148 cottonwood Ct.;Vermont
1154;Myers Chocolates and Confectio;1715 Chicago Ave.;New York
1155;Hibop Heating and Air Conditio;857 Woodbine Rd;Virginia
1156;Ebert Music Center;917 Fairview Ave.  Apt. 982;Indiana
1157;Hardee Woodwork Ltd.;1535 Knollwood Drive;Illinois
1158;Johnson, Erico & Co CPA's;220 Vine Ave.;Nebraska
1159;Chands CPA;1077 Court Ave.;Michigan
1160;Got It All Electronics Supply;600 Central Ave.;West Virginia
1161;Got It All Electronics Supply;1954 First St.;New Jersey
1162;Resnick DDS;2220 Grant Blvd.;Rhode Island
1163;Jay's Cabinet Company;1101 Deerfield Place;New Hampshire
1164;Bako Delicatessen;1482 Concorde Circle;Idaho
1165;Morgan Construction Co;42 Valley Rd.;Oklahoma
1166;Bill's Dive Shop;770 Exmoor Rd.;Vermont
1167;Jay's Cabinet Company;445 Park Ave.;Connecticut
1168;Truck-X Muffler Repair;1949 Cloverdale Rd.;Pennsylvania
1169;Sigman and Freud Psychiatry;3059 Priscilla Court;Arkansas
1170;Bill's Dive Shop;965 Marion Place Apt. 65C;Louisiana
1171;Hart Corporation;1920 Sunnyside Ave.;South Dakota
1172;Yale Remins Temp Agency;12 Walker Ave.;South Dakota
1173;Nyman Interior Design;445 Park Ave.;Oregon
1174;Jay's Cabinet Company;671 Blackstone Ave.;Wisconsin
1175;Kapp Camera and Video;1220 Heather Lane;Wyoming
1176;Green Bay Travel Services;673 Calais Drive;Hawaii
1177;DBN Bank;4763 Blackhawk Rd.;Wyoming
1178;Loyal Order of Buffalo;726 White Oaks Ave.;South Dakota
1179;Morgan Construction Co;2220 Grant Blvd.;Vermont
1180;K L Consulting;1715 Chicago Ave.;Missouri
1181;Air Guatamala;1957 Huntington Ave.;Montana
1182;Darcy Frame and Matting Servic;2479 Woodridge Drive;Ohio
1183;Griffith Paving and Sealcoatin;1220 Heather Lane;Kansas
1184;Dean Barnett Furniture Repair;38976 Forest View Rd.;Vermont
1185;Froggy's Gourmet Catering;1077 Court Ave.;Minnesota
1186;George Lee Antiques;2024 St.Johns Ave.;Indiana
1187;Quad City Cleaning;511 Hill;Alabama
1188;Bernhardt Ltd.;4467 Sheridan Rd.;New Jersey
1189;Jay's Cabinet Company;1770 first St.;Texas
1190;Office Pro Supply Co.;1795 Lake Cook Rd.;Arkansas
1191;Johnson, Erico & Co CPA's;770 Exmoor Rd.;Texas
1192;Dapper's Antiques;1679 McCraren;Nevada
1193;John G. Hartling Ltd.;3181 Barkwood Ct.;West Virginia
1194;Hardee Woodwork Ltd.;899 Harvard Ct;South Carolina
1196;Marcy Elaine Bakery;220 Vine Ave.;West Virginia
1197;Hibbard Road Suppliers;1858 Balsam Way;Nebraska
1199;Green Bay Travel Services;865 Old Tall Tree Lane;Pennsylvania
1200;Johnson, Erico & Co CPA's;1235 Easton Rd.;West Virginia
1201;Caranisco Homes;45 South Deer Creek Drive;California
1202;Facelift Kitchen and Bath;231 Sheriden Rd.;Iowa
1203;Chands CPA;2644 Princeton Ln.;Nevada
1204;Pasifico Inc.;600 Central Ave;Indiana
1205;Vanity Town;2936 Arlington Ave.;Rhode Island
1206;MedicServe Medical Supply;3344 Beachwood Ln.;Rhode Island
1207;Hi-Land Art & Frame;3181 Barkwood Ct.;Michigan
1208;Woodworks Co.;43078 Kennedy Dr.;North Carolina
1209;Griffith Paving and Sealcoatin;872 Virginia Rd.;Colorado
1210;Air France;632 Roger Williams;Massachusetts
1211;Happ Aluminum Siding Co.;872 Virginia Rd.;New York
1212;Gourmet the Frog;201-C Frontage Rd.;Utah
1213;Foy Aviation;632 Florence Dr.;New Jersey
1214;Camp Stuff;54 Lakeview Terrace;Virginia
1215;Ebert Music Center;2220 Grant Blvd.;Ohio
1216;Ebert Music Center;2220 Grant Blvd.;Oregon
1217;Hart Corporation;2922 Twin Oaks Drive;Idaho
1218;Marcy Elaine Bakery;2510 Crain;Montana
1219;John G. Hartling Ltd.;750 Homewood Ave.;Missouri
1220;Schmidt Denists;1839 McCraren Rd.;Tennessee
1221;Maintence Services of Maine;2148 Eastview Dr.;Mississippi
1222;Kermit the Pet Shop;3150 Skokie Valley Rd.;Kansas
1223;Meonits & Mogogni Inc.;1155 Ridgewood Drive;Alabama
1224;Flinn Mosquito and Pest Contro;550 Sheridan;Indiana
1225;P K M Packaging Supply;54 Lakeview Terrace;Wyoming
1226;Maintence Services of Maine;770 Exmoor Rd.;Massachusetts
1227;Salt & Pepper Catering Service;872 Virginia Rd.;Connecticut
1228;Michael Montgomery Hair Saloon;42 Valley Rd.;Oregon
1229;Glenwood Credit Union;465 Stratford Rd.;Tennessee
1230;Corbins, Rodriguez, & Savocchi;1770 first St.;Delaware
1231;Metro Appliance Service;917 Fairview Ave.  Apt. 982;Ohio
1198;Air Indonesia;245 Oakridge Ave.;Delaware
1232;Masterlands Cleaning;42 Valley Rd.;Louisiana
1233;Johnson, Erico & Co CPA's;456 Grossman Ln.;South Dakota
1234;Dean Barnett Furniture Repair;445 Park Ave.;Maryland
1235;Kermit the Pet Shop;2267 Anderson Lane;Indiana
1236;Derbin Contracting Services;750 Homewood Ave.;Washington
1237;janice Mann Accounting Service;313 Grove Ave.;Indiana
1238;Trapezoid Studios;3150 Skokie Valley Rd.;Iowa
1239;Park District Of America;2870 Skokie Rd.;Delaware
1240;Palmer Golf Supplies;2112 Ravine Drive;Ohio
1241;Myles Building Consultants;886 Yale Lane;Vermont
1242;North West Gas Co.;511 Hill;Maryland
1243;P K M Packaging Supply;2032 Northbrook Ct.;New Jersey
1244;Metro Appliance Service;35 Glenlake Dr.;South Carolina
1245;Air Mexico;1126 Hillcrest Ave;Rhode Island
1246;Lutz Soft Cloth Car Wash;201-C Frontage Rd.;Oregon
1247;Facelift Kitchen and Bath;1701 W. Mellody Rd.;Mississippi
1248;Lutz Soft Cloth Car Wash;671 Blackstone Ave.;Maine
1249;Ernie's Foriegn Car Service;1619 Judson Ave. Apt #34B;North Carolina
1250;Brand Y Creative Services;1882 St. Johns;Massachusetts
1251;North Shore Appliance Service;865 Old Tall Tree Lane;California
1252;Rythmics Ltd.;2024 St.Johns Ave.;Michigan
1253;Air Indonesia;12 Broadview Lane;Maine
1254;Kermit the Pet Shop;854 Woodbine;New Jersey
1255;Camp Stuff;310 Walker Ave.;Hawaii
1256;Yale Remins Temp Agency;1858 Balsam Way;Nebraska
1257;New Dehli Auto Exchange;2267 Anderson Lane;Delaware
1258;Nina's Snow Plowing;45 South Deer Creek Drive;Mississippi
1259;Air Mexico;456 Groverland Ave.;Colorado
1260;Chicagoland Cleaners;917 Fairview Ave.  Apt. 982;California
1261;Office Pro Supply Co.;1633 McGovern place;Alabama
1262;New Dehli Auto Exchange;1436 Waverly Rd.;South Carolina
1263;Mergenthaler Inc.;2045 St. johns Ave.;Indiana
1264;Futoons Cartoons Emporium;3150 Skokie Valley Rd.;New Jersey
1265;Park District Of America;2224 Sherman Rd.;Georgia
1266;Corbins, Rodriguez, & Savocchi;574 Chicago Ave.;Pennsylvania
1267;Energy Source Diet Centers;3100 Trailer Way;Alabama
1269;Schmidt Denists;1009 marvel Way;California
1270;Marcy Elaine Bakery;4467 Sheridan Rd.;Illinois
1271;Pasifico Inc.;1575 Oakwood Ave.;Idaho
1272;Peterson Roberts Carpentry;581 Hill St. Apt. 234;Tennessee
1273;K L Consulting;12 Craven Way;Michigan
1274;Chands CPA;1065 Hillcrest Circle;New Jersey
1275;Kapp Camera and Video;1752 Clinton Ave.;Nevada
1276;Hibbard Road Suppliers;139 Bay Colony Dr.;Arizona
1277;MedicServe Medical Supply;511 Maple Ave.  Apt. 1B;Utah
1278;Mac Computer Warehouse;1450 Harding Ave.;Louisiana
1279;Marks, Marks, and Kaplan Ltd.;1337 Cavell Ave.;Alaska
1280;Cotton Thumb Ltd.;4763 Blackhawk Rd.;Kansas
1281;Pivot Point College;512 Hill;Michigan
1282;Pac Builders;4763 Blackhawk Rd.;Hawaii
1283;Garfield Appliance Service;770 Exmoor Rd.;New Hampshire
1284;Keyth Contracting and Repair;899 Harvard Ct;New Hampshire
1285;Dapper's Antiques;1436 Waverly Rd.;Nevada
1286;Shaggy's Grooming Services;1575 Oakwood Ave.;Louisiana
1287;Quad City Cleaning;1954 First St.;Colorado
1288;Car Suite Cleaners;14836 W. River Oaks Dr.;Maryland
1289;Pete's Auto Repair;2479 Woodridge Drive;Wyoming
1290;Derbin Contracting Services;886 Yale Lane;Colorado
1291;Schnitzer Denist College;511 Hill;New York
1292;Ampro Office Team Ltd.;2505 Allison ct.;Nevada
1293;AAA Daniels Antiques;785 Highland place;Wisconsin
1294;Myles Building Consultants;4522 N. Greenview Apt. 1B;Massachusetts
1295;Doll House Rock;445 Park Ave.;Delaware
1296;Michael Montgomery Hair Saloon;1444 Chantilly Ln.;South Carolina
1297;Schmidt Denists;425 Lake Ave.;Texas
1298;New Dehli Auto Exchange;872 Virginia Rd.;New Hampshire
1299;Cradle the Call;12 Broadview Lane;Florida
1300;Derbin Contracting Services;654 Walnut Rd.;Florida
1301;Gilbert Co.;35 Glenlake Dr.;Virginia
1302;Hi-Land Art & Frame;632 Florence Dr.;Maine
1303;Darcy Frame and Matting Servic;1777 balsamic Ave.;Virginia
1304;Funnyface Amusement Games;632 Roger Williams;Pennsylvania
1305;Marks, Marks, and Kaplan Ltd.;3487 Green Bay Rd.;Kansas
1306;Pac Builders;2922 Twin Oaks Drive;Idaho
1307;North West Gas Co.;886 Yale Lane;Indiana
1308;Doerner's Awnings and Canopies;1575 Oakwood Ave.;Vermont
1309;Salt & Pepper Catering Service;1234 Devonshire Court;Virginia
1310;Lickmen Restoration;746 Judson Place;Montana
1311;Elm Place Business Supplies;3901 Chester Ave. Apt. 3C;New York
1312;Eva Galler Galleries Inc.;54 Lakeview Terrace;Rhode Island
1313;Myles Building Consultants;2148 Eastview Dr.;Massachusetts
1314;AAA Daniels Antiques;1337 Cavell Ave.;Oregon
1315;Hibop Heating and Air Conditio;1287 Glencoe Ave.;Texas
1316;Got It All Electronics Supply;313 Grove Ave.;Maryland
1317;Vanity Town;654 Walnut Rd.;Maine
1318;Bako Delicatessen;201-C Frontage Rd.;Missouri
1319;Froggy's Gourmet Catering;210 Cresant Rd.;Louisiana
1320;John G. Hartling Ltd.;512 Hill;New Hampshire
1321;Got It All Electronics Supply;1795 Lake Cook Rd.;North Dakota
1322;Griffith Paving and Sealcoatin;671 Blackstone Ave.;Oklahoma
1323;Glassman & Stone;852 Sumac Rd.;Vermont
1324;North Shore Appliance Service;445 Park Ave.;Florida
1325;Darcy Frame and Matting Servic;969 Saxony Drive;Indiana
54;Jay's Cabinet Company;2024 St.Johns Ave.;West Virginia
1326;George Lee Antiques;12 Broadview Lane;Florida
1327;New Dehli Auto Exchange;865 Old Tall Tree Lane;New Hampshire
1328;Lambert & Locke Legal Services;929 Brittany Ave.;West Virginia
1329;Chicagoland Cleaners;120 high St.;Texas
1330;Caranisco Homes;3150 Skokie Valley Rd.;Connecticut
1331;Masterlands Cleaning;1155 Ridgewood Drive;Alabama
1332;American Apartments;1550 Ridge Rd.;New Mexico
1333;Office Pro Supply Co.;3148 cottonwood Ct.;Utah
1334;Elle Hypnosis and Therapy Cent;406 Trinity Ct.;Maine
1336;Keyth Contracting and Repair;1220 Heather Lane;Pennsylvania
1337;Maintence Services of Maine;632 Roger Williams;Massachusetts
1338;Camp Oconomowoc;632 Roger Williams;Texas
1339;Nirabi Auto Service;12 Craven Way;New Jersey
1340;Nina's Snow Plowing;899 Harvard Ct;Ohio
1341;Arthur M. Feildberg Galleries;2678 Sheridan Rd.;Maryland
1342;Nyman Interior Design;43078 Kennedy Dr.;Arkansas
1343;Facelift Kitchen and Bath;673 Calais Drive;Maryland
1344;Woodworks Co.;1019 Deerfield Rd.;Utah
1345;Glenn Oaks Office Supplies;643 De Temple Rd.;Oklahoma
1346;Hibbard Road Suppliers;12 Broadview Lane;Mississippi
1347;Pete's Auto Repair;4259 W. Lake Ave.;West Virginia
1348;Hoffman Printing Center;313 Grove Ave.;Alaska
1349;janice Mann Accounting Service;175 beech St.;South Dakota
1350;Office Pro Supply Co.;1957 Huntington Ave.;Montana
1351;Block Boats and Lures;2644 Princeton Ln.;New Jersey
1352;Rythmics Ltd.;550 Sheridan;Pennsylvania
1353;Corbins, Rodriguez, & Savocchi;2870 Skokie Rd.;Georgia
1354;Pac Builders;750 Homewood Ave.;Hawaii
1355;Cosmo Skin Care Center;2678 Sheridan Rd.;Florida
1356;Salt & Pepper Catering Service;929 Brittany Ave.;New Hampshire
1357;Elle Hypnosis and Therapy Cent;2632 Prarie Ln.;Louisiana
1358;Portugal, Liddy, & Son Ltd.;654 Walnut Rd.;Montana
1359;Truck-X Muffler Repair;917 Fairview Ave.  Apt. 982;Arizona
1360;Deer Lake Inn;266 Green Bay Rd.;Missouri
1361;Chands CPA;12 Fort Sheriden Ave.;South Dakota
1362;Yale Remins Temp Agency;210 Cresant Rd.;South Carolina
1363;Happ Aluminum Siding Co.;1575 Oakwood Ave.;Wisconsin
1364;AA Advertising;511 Maple Ave.  Apt. 1B;Hawaii
1365;Mac Computer Warehouse;231 Sheriden Rd.;New Hampshire
1366;Marks, Marks, and Kaplan Ltd.;224  Highwood Ave.;South Carolina
1367;Metro Appliance Service;12 Fort Sheriden Ave.;Hawaii
1368;Ampro Office Team Ltd.;1715 Chicago Ave.;Connecticut
1369;AAA Daniels Antiques;115 Judson Rd.;New Jersey
1370;Portugal, Liddy, & Son Ltd.;512 Hill;Arkansas
1371;Crossroads Construction, Inc.;12 Broadview Lane;Alabama
1372;Bernhardt Ltd.;244 Briar Ln;Tennessee
1373;Morgan Construction Co;746 Judson Place;Colorado
1374;Crosstracks Car Wash;3478 Bryn Mawr St.;Georgia
1375;Arthur M. Feildberg Galleries;21 Lakeview Terrace #2312;Louisiana
1376;Salt & Pepper Catering Service;1235 Easton Rd.;Nevada
1377;Acturial Enterprises Ltd.;865 Old Tall Tree Lane;New Jersey
1378;Innman Paint and Glass;669 Kikaid;Illinois
1379;Cotton Thumb Ltd.;1233 Arbor Rd.;Idaho
1380;Mail Boxes Et. Al.;12 Broadview Lane;Tennessee
1381;Dean Barnett Furniture Repair;1155 Ridgewood Drive;Hawaii
1382;Dapper's Antiques;3062 Lindenwood Ln.;Utah
1383;Truck-X Muffler Repair;2936 Arlington Ave.;Virginia
1384;K L Consulting;1882 St. Johns;Pennsylvania
1385;Palmer Golf Supplies;1701 W. Mellody Rd.;Massachusetts
1386;Glenn Oaks Office Supplies;750 Homewood Ave.;Maryland
1387;Sigman and Freud Psychiatry;367Bluebird Terr.;West Virginia
1388;Ernie's Foriegn Car Service;2024 St.Johns Ave.;Ohio
1389;Esmarda Chemical Manufacturers;2600 Winsor Mall;New Hampshire
1390;Gordon & Son Brockerage Ltd.;433 Burton Ave.;Louisiana
1391;Derbin Contracting Services;1860 Parkside Ln.;Delaware
1392;Cosmo Skin Care Center;750 Homewood Ave.;South Carolina
1393;Got It All Electronics Supply;4467 Sheridan Rd.;Florida
1394;Hibbard Road Suppliers;1831 Beverly Place #9D;West Virginia
1395;Lake Shore Beaches;1915 Lewis Ln.  Apt 13;Wisconsin
1397;Schnitzer Denist College;3901 Chester Ave. Apt. 3C;Maryland
1398;Car Suite Cleaners;4259 W. Lake Ave.;Arkansas
1399;Jay's Cabinet Company;839 Burton Ave;Maryland
1400;George Lee Antiques;3100 Trailer Way;West Virginia
1401;Hi-Land Art & Frame;2024 St.Johns Ave.;Florida
1402;Mac Computer Warehouse;2045 St. johns Ave.;Arkansas
1403;Auto Interior Carpeting Compan;1679 McCraren;California
1404;Vanity Town;2479 Woodridge Drive;New Hampshire
1405;BBQ Smith's Tex Mex;1907 S. Prospect Ave.;North Dakota
1406;Portugal, Liddy, & Son Ltd.;1920 Sunnyside Ave.;Delaware
1407;Highland Woods City Hall;1019 Deerfield Rd.;South Carolina
1408;Griffith Paving and Sealcoatin;1575 Oakwood Ave.;Rhode Island
1409;John G. Hartling Ltd.;225 Jeffrys Place;Arizona
1410;Toggle & Myerson Ltd;1486 Oakwood;Arkansas
1411;Hoffman Printing Center;1975 elmwood Circle;Maryland
1412;Nina's Snow Plowing;241 Callan Rd.;Colorado
1413;Froggy's Gourmet Catering;1912 Old Briar Lane #2;Vermont
1414;Chands CPA;807 Old Trail Rd.;Louisiana
1415;Camp Stuff;368 Woodland Rd.;Florida
1416;Loyal Order of Buffalo;673 Calais Drive;New Mexico
1417;Masterlands Cleaning;1859 Green Bay Rd.;Virginia
1418;Schnitzer Denist College;1575 Oakwood Ave.;Idaho
1396;Libra & Sons;225 Jeffrys Place;Iowa
1419;Portugal, Liddy, & Son Ltd.;1185 County line Rd.;Connecticut
1420;Johnson, Erico & Co CPA's;628 Orwenstensia;Pennsylvania
1421;K L Consulting;1954 First St.;New Jersey
1422;Lickmen Restoration;1019 Deerfield Rd.;Alaska
1423;Maintence Services of Maine;812 North Ave.;South Dakota
1424;Lickmen Restoration;643 De Temple Rd.;Colorado
1425;Vecot Inc.;35 Glenlake Dr.;Virginia
1426;Nel Video Productions;1287 Glencoe Ave.;Georgia
1427;Nel Video Productions;1915 Lewis Ln.  Apt 13;Massachusetts
1428;Office Pro Supply Co.;618 Sheriden rd.;Oklahoma
1429;Perimeter Security Consultants;12 Broadview Lane;Alaska
1430;Glassman & Stone;367Bluebird Terr.;Oklahoma
1431;Lake Shore Publishing;807 Old Trail Rd.;South Carolina
1432;Tub's Furniture Store;1547 Knolwood Rd.;Tennessee
1433;Hibbard Road Suppliers;43078 Kennedy Dr.;South Dakota
1434;Peterson Roberts Carpentry;581 Hill St. Apt. 234;South Dakota
1435;Air Mexico;5518 Madison St.;Montana
1436;Bako Delicatessen;12 Broadview Lane;Wyoming
1437;Camp Stuff;3100 Trailer Way;California
1438;K L Consulting;1875 Roger Williams Ave.;Florida
1439;Lidhal design Corp.;616 Cobblestone Cir.;South Dakota
1440;Derbin Contracting Services;355 Golf Rd.;Florida
1441;Lidhal design Corp.;785 Highland place;North Carolina
1442;Ampro Office Team Ltd.;629 Kincaid Ave.;Utah
1443;Myles Building Consultants;1949 Cloverdale Rd.;New Mexico
1444;American Apartments;1619 Judson Ave. Apt #34B;South Carolina
1445;Innman Paint and Glass;45 South Deer Creek Drive;Virginia
1446;Glenn Oaks Office Supplies;1882 St. Johns;Indiana
1447;Hibbard Road Suppliers;302-A Crestwood Village Rd.;Michigan
1448;Truck-X Muffler Repair;1949 Cloverdale Rd.;Delaware
1449;Elle Hypnosis and Therapy Cent;1770 first St.;New York
1450;Gourmet the Frog;669 Kikaid;Michigan
1451;Mail Boxes Et. Al.;1486 Old Deerfield Rd.;Washington
1452;Flinn Mosquito and Pest Contro;3148 cottonwood Ct.;Hawaii
1453;Funnyface Amusement Games;433 Burton Ave.;Missouri
1454;Hibbard Road Suppliers;673 Calais Drive;South Carolina
1455;Mail Boxes Et. Al.;3385 University Ave.;Texas
1456;Maintence Services of Maine;1065 Hillcrest Circle;Wyoming
1457;Portugal, Liddy, & Son Ltd.;1714 Clifton Rd.;Wyoming
1458;Hibbard Road Suppliers;1715 Chicago Ave.;Louisiana
1459;Gilbert Co.;244 Briar Ln;Missouri
1460;Highland Lanes;35 Glenlake Dr.;Oregon
1461;Meonits & Mogogni Inc.;1482 Concorde Circle;Connecticut
1462;Hardee Woodwork Ltd.;1658 Second St.;Illinois
1463;Lidhal design Corp.;1954 First St.;Iowa
1464;MedicServe Medical Supply;4763 Blackhawk Rd.;Delaware
1465;Highland Lanes;3344 Beachwood Ln.;Nebraska
1467;AAA Daniels Antiques;886 Yale Lane;South Carolina
1468;Mergenthaler Inc.;241 Callan Rd.;Alaska
1469;Nitelites Party Rental;574 Chicago Ave.;Minnesota
1470;Lutz Soft Cloth Car Wash;550 Sheridan;South Dakota
1471;Myers Chocolates and Confectio;1444 Chantilly Ln.;Kentucky
1472;Hibop Heating and Air Conditio;1126 Hillcrest Ave;Michigan
1473;Hibop Heating and Air Conditio;14836 W. River Oaks Dr.;Connecticut
1474;Smith Communications Inc.;2922 Twin Oaks Drive;Washington
1475;Gilbert Co.;2224 Sherman Rd.;New Jersey
1476;Bako Delicatessen;1715 Chicago Ave.;California
1477;Portugal, Liddy, & Son Ltd.;3478 Bryn Mawr St.;Nevada
1478;Gilbert Co.;456 Grossman Ln.;Virginia
1479;Marcy Elaine Bakery;1077 Court Ave.;Michigan
1480;Meonits & Mogogni Inc.;45 South Deer Creek Drive;Montana
1481;Nitelites Party Rental;445 Park Ave.;Nevada
1482;MedicServe Medical Supply;201-C Frontage Rd.;Wyoming
1483;Nel Video Productions;4467 Sheridan Rd.;Hawaii
1484;Meonits & Mogogni Inc.;1126 Hillcrest Ave;Colorado
1485;Gilbert Co.;242 Ashland Ave.;Kentucky
1486;Nina's Snow Plowing;2024 St.Johns Ave.;Maryland
1487;Venturi Discount Drugs;807 Old Trail Rd.;New York
1488;Camp Oconomowoc;1660 Park Ave.;Louisiana
1489;Esmarda Chemical Manufacturers;1185 County line Rd.;Colorado
1490;Perimeter Security Consultants;1482 Concorde Circle;Oklahoma
1491;Pac Builders;43078 Kennedy Dr.;Pennsylvania
1492;Nyman Interior Design;1065 Hillcrest Circle;Alaska
1493;Woodworks Co.;1975 elmwood Circle;Alabama
1494;Highland Lanes;788 Tennyson Ave.;Colorado
1495;Air Mexico;225 Jeffrys Place;New Hampshire
1496;Bernhardt Ltd.;746 Judson Place;Tennessee
1497;Nel Video Productions;1750 Lily Court;Tennessee
1498;BBQ Smith's Tex Mex;1550 Ridge Rd.;California
1499;Cradle the Call;1155 Ridgewood Drive;New Hampshire
1500;Gourmet the Frog;3385 University Ave.;South Dakota
1501;Percy Photography;4259 W. Lake Ave.;Wisconsin
1502;Salt & Pepper Catering Service;1233 Arbor Rd.;Arkansas
1503;Deer Lake Inn;115 Pleasent Ave.;South Carolina
1504;Metro Appliance Service;5518 Madison St.;Minnesota
1505;Doll House Rock;1912 Old Briar Lane #2;Connecticut
1506;Keyth Contracting and Repair;3148 cottonwood Ct.;Massachusetts
1507;Camp Stuff;1185 County line Rd.;Montana
1508;Park District Of America;115 Judson Rd.;Georgia
1509;MedicServe Medical Supply;115 Pleasent Ave.;Alaska
1510;Glenwood Credit Union;2510 Crain;Vermont
1511;Quad City Cleaning;1660 Park Ave.;South Dakota
1512;Bee Line Publishing;4522 N. Greenview Apt. 1B;New Jersey
1513;Highland Woods City Hall;1575 Oak Ave.  Apt. 2C;Minnesota
55;Highland Heights Gift Shop;1799 Rosemary Way;Nevada
56;Glenn Oaks Office Supplies;1859 Green Bay Rd.;Connecticut
1514;Brand Y Creative Services;1770 first St.;Nebraska
1515;American Apartments;1450 Harding Ave.;Virginia
1516;Perimeter Security Consultants;1839 McCraren Rd.;Michigan
1517;Trapezoid Studios;643 De Temple Rd.;Nevada
1518;Smith & Wesson Militia;1875 Roger Williams Ave.;Iowa
1519;Mac Computer Warehouse;12 Craven Way;Vermont
1520;Car Suite Cleaners;115 Pleasent Ave.;Montana
1521;Shaggy's Grooming Services;1619 Judson Ave. Apt #34B;Alabama
1522;Bernhardt Ltd.;618 Sheriden rd.;Delaware
1523;Garfield Appliance Service;2024 St.Johns Ave.;Oregon
1524;North West Gas Co.;12 Broadview Lane;Illinois
1525;Air France;3385 University Ave.;Maine
1526;Parkway Auto Body;1957 Huntington Ave.;North Carolina
1528;Trapezoid Studios;2112 Ravine Drive;Oregon
1529;Doll House Rock;2032 Northbrook Ct.;California
1530;Air Indonesia;965 Marion Place Apt. 65C;Vermont
1531;Trapezoid Studios;54 Lakeview Terrace;Idaho
1532;Darcy Frame and Matting Servic;770 Exmoor Rd.;Tennessee
1533;Lutz Soft Cloth Car Wash;1185 County line Rd.;Montana
1534;Schnitzer Denist College;865 Old Tall Tree Lane;Michigan
1535;Highland Heights Gift Shop;669 Kikaid;Indiana
1536;Lake Shore Beaches;465 Stratford Rd.;Alaska
1537;Schnitzer Denist College;1235 Easton Rd.;Iowa
1538;Lambert & Locke Legal Services;1245 Eastwood;Rhode Island
1539;Innman Paint and Glass;241 Callan Rd.;South Carolina
1540;Ebert Music Center;511 Maple Ave.  Apt. 1B;Delaware
1541;Woodworks Co.;511 Maple Ave.  Apt. 1B;Michigan
1542;Rythmics Ltd.;456 Groverland Ave.;Kansas
1543;Vanity Town;218 Oakridge Ave.;Rhode Island
1544;Toggle & Myerson Ltd;42 Valley Rd.;South Dakota
1545;AA Advertising;12 Fort Sheriden Ave.;Louisiana
1546;Derbin Contracting Services;511 Hill;Washington
1547;Venturi Discount Drugs;231 Sheriden Rd.;Illinois
1548;Quad City Cleaning;1245 Eastwood;Utah
1549;Myers Chocolates and Confectio;662 Lyons Circle;Illinois
1550;Lake Shore Publishing;2505 Allison ct.;Massachusetts
1551;Air Indonesia;1019 Deerfield Rd.;Virginia
1552;Energy Source Diet Centers;852 Sumac Rd.;Indiana
1553;George Lee Antiques;1486 Oakwood;Wyoming
1554;Esmarda Chemical Manufacturers;785 Highland place;Pennsylvania
1555;Hart Corporation;965 Marion Place Apt. 65C;Ohio
1556;Nel Video Productions;643 De Temple Rd.;Hawaii
1557;Highland Woods City Hall;3487 Green Bay Rd.;Tennessee
1558;Eva Galler Galleries Inc.;511 Maple Ave.  Apt. 1B;Idaho
1559;Woodworks Co.;2936 Arlington Ave.;Washington
1560;Johnson, Erico & Co CPA's;2870 Skokie Rd.;New Jersey
1561;Ampro Office Team Ltd.;1795 Lake Cook Rd.;Texas
1563;Moveit Motercycle Service;1245 Eastwood;Pennsylvania
1564;Gilbert Co.;872 Virginia Rd.;Vermont
1565;Vecot Inc.;1287 Glencoe Ave.;Connecticut
1566;Meonits & Mogogni Inc.;1233 Arbor Rd.;Arizona
1567;Darcy Frame and Matting Servic;367Bluebird Terr.;California
1568;Auto Interior Carpeting Compan;746 Judson Place;Colorado
1569;Lake Shore Beaches;12 Walker Ave.;Iowa
1570;Bill's Dive Shop;807 Old Trail Rd.;Delaware
1571;Bernhardt Ltd.;1752 Clinton Ave.;Arizona
1572;MedicServe Medical Supply;1860 Parkside Ln.;North Carolina
1573;Derbin Contracting Services;1486 Old Deerfield Rd.;Alaska
1574;Smith & Wesson Militia;965 Marion Place Apt. 65C;Oregon
1575;Pasifico Inc.;750 Homewood Ave.;Kansas
1576;Air Guatamala;3150 Skokie Valley Rd.;Texas
1577;Air India;673 Calais Drive;Rhode Island
1578;First National Bank of Ottowa;1126 Hillcrest Ave;Pennsylvania
1579;Salt & Pepper Catering Service;38976 Forest View Rd.;Virginia
1580;Marcy Elaine Bakery;3059 Priscilla Court;Tennessee
1581;Caranisco Homes;175 beech St.;Illinois
